speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	style	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C
006	i:	006-F-BHC2	BHC2	1962	male	122.5152828	tiid	t	t	read	205.813417	51.45335425	333.2288976	2292.648471	2840.918529	102.9067085	361.2144308	2371.957888	2830.397963	154.3600628	329.2868983	2346.621756	2895.691081
006	i:	006-F-BHC2	BHC2	1962	male	217.9717212	wiid	v	t	read	155.695202	38.9238005	345.1791181	2278.070403	2733.806562	77.847601	312.7531232	2396.583493	2719.368033	116.7714015	381.6659683	2537.440753	2722.910043
006	i:	006-F-BHC2	BHC2	1962	male	108.5496862	wiif	v	f	read	242.125445	60.53136125	344.2570047	2400.682445	2972.825558	121.0627225	375.1467919	2436.310468	3155.215147	181.5940838	345.6008367	2409.975813	3180.333337
006	i:	006-F-BHC2	BHC2	1962	male	110.6284913	siik	s	k	read	257.053663	64.26341575	392.6414375	2364.280247	2807.881648	128.5268315	374.1160933	2401.804634	2952.602345	192.7902473	366.8516915	2424.908794	3091.862477
006	i:	006-F-BHC2	BHC2	1962	male	576.8124997	tiidskriften	t	t	spon	143.775413	35.94385325	392.5151439	2099.330975	2573.839043	71.8877065	400.5645458	2252.563367	2399.520004	107.8315598	404.3813006	2124.855171	2584.329905
006	i:	006-F-BHC2	BHC2	1962	male	917.7294987	tiid	t	t	spon	157.017885	39.25447125	363.741629	2324.714446	2800.802802	78.5089425	346.7295333	2317.859047	2759.981834	117.7634138	366.3251374	2019.407881	2650.030817
006	i:	006-F-BHC2	BHC2	1962	male	1123.305426	fiif	f	v	spon	134.490697	33.62267425	390.8313329	2194.493617	2758.744991	67.2453485	376.6500456	2233.917501	2800.659624	100.8680228	364.6403053	2178.988488	2628.364247
007	i:	007-F-BHC1	BHC1	1897	male	152.6487942	tiid	t	t	read	227.8589143	56.96472857	323.4577517	2222.53459	2633.957599	113.9294571	303.574154	2538.985952	2664.84816	170.8941857	296.1974212	2223.642003	2618.730477
007	i:	007-F-BHC1	BHC1	1897	male	121.159208	wiif	v	f	read	258.1462868	64.53657169	317.53787	2166.444038	2628.275126	129.0731434	325.1547077	2133.557565	2552.022815	193.6097151	323.4018159	2074.841526	2561.316254
007	i:	007-F-BHC1	BHC1	1897	male	123.6181916	siik	s	k	read	301.0196803	75.25492008	317.2176321	2005.448437	2366.181782	150.5098402	353.8440157	2110.309022	2450.77281	225.7647602	311.3347873	2121.374349	2528.951111
007	i:	007-F-BHC1	BHC1	1897	male	258.5776651	wiid	v	t	read	210.5937615	52.64844037	323.9808321	2262.796752	2539.767634	105.2968807	359.6615131	2155.388072	2529.083395	157.9453211	321.363342	2211.020256	2567.813119
007	i:	007-F-BHC1	BHC1	1897	male	542.9995018	tiid	t	t	spon	160.4106646	40.10266614	384.8160917	2335.105139	2733.160179	80.20533228	363.1320764	2388.22383	2724.517723	120.3079984	360.5978772	2358.460421	2836.527976
007	i:	007-F-BHC1	BHC1	1897	male	1287.741055	tiid	t	t	spon	170.626635	42.65665875	367.2083552	2265.227407	2606.91417	85.31331751	363.1745158	2329.718156	2640.73475	127.9699763	377.732288	2310.148227	2663.63668
007	i:	007-F-BHC1	BHC1	1897	male	1423.751584	tiid	t	t	spon	213.4243777	53.35609442	356.7474623	2359.073572	2586.428239	106.7121888	339.0294476	2241.259101	2573.914746	160.0682833	365.93515	2445.320033	2664.918785
007	i:	007-F-BHC1	BHC1	1897	male	1806.015706	tiid	t	t	spon	110.2279245	27.55698113	349.2339231	2323.465752	2635.5242	55.11396225	331.9729983	2325.055505	2634.840935	82.67094338	341.8370719	2339.317445	2659.060281
010	i:	010-F-BHC1	BHC1	1902	male	1461.98681	tiid	t	t	spon	159.7140842	39.92852105	370.6871016	1868.864101	3195.443571	79.8570421	397.0119207	1968.409612	3131.693855	119.7855632	298.8456907	1849.206414	2675.453044
010	i:	010-F-BHC1	BHC1	1902	male	2477.416146	tiid	t	d	spon	106.8047825	26.70119563	290.6736602	2016.02979	2312.652587	53.40239126	300.775507	1909.482381	2475.673996	80.10358689	207.2515135	1625.717937	2714.001348
010	i:	010-F-BHC1	BHC1	1902	male	140.3130939	wiif	v	f	read	238.6313999	59.65784998	333.8935783	2067.549623	2769.354305	119.3157	307.7478654	2055.065531	2873.643227	178.9735499	307.9628749	2078.672302	3068.003302
010	i:	010-F-BHC1	BHC1	1902	male	142.9182242	siik	s	k	read	234.088235	58.52205876	314.2495802	2056.756312	2717.877606	117.0441175	290.6049226	2099.800484	2702.202602	175.5661763	306.6454518	2141.903024	2619.284494
010	i:	010-F-BHC1	BHC1	1902	male	1957.136576	tiid	t	t	spon	158.0917288	39.52293219	305.3158108	2033.985041	2565.201329	79.04586438	236.5969324	1793.107315	2620.73046	118.5687966	237.7504967	1756.458936	2654.631553
010	i:	010-F-BHC1	BHC1	1902	male	2364.469193	tiid	t	t	spon	169.3804016	42.34510039	282.2765907	1769.387212	2622.182056	84.69020079	303.3628322	2317.204465	3349.017675	127.0353012	266.8432907	2134.933736	2294.400857
