speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	read/spon	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C					
024	i:	024-F-BHC1	BHC1	1935	male	93.09676138	siik	s	k	read	223.0771057	55.76927642	291.9620254	1842.945913	2582.094504	111.5385528	317.9036222	1963.364648	2612.75348	167.3078293	305.00191	2000.978332	2440.06009					
024	i:	024-F-BHC1	BHC1	1935	male	91.40181119	wiif	v	f	read	254.9710378	63.74275945	283.1383196	1983.296128	2842.938318	127.4855189	256.2263465	2088.22228	2960.53267	191.2282783	304.3438448	2089.566782	2736.931912					
024	i:	024-F-BHC1	BHC1	1935	male	120.3809794	tiid	t	t	read	234.8153493	58.70383731	307.8659416	1952.049337	2623.81929	117.4076746	326.9843001	2027.247301	2595.104602	176.1115119	327.2023275	2029.76899	2659.721314					
024	i:	024-F-BHC1	BHC1	1935	male	218.3054346	wiid	v	t	read	139.2999833	34.82499584	290.4956197	1981.138637	2603.170254	69.64999167	277.5924463	1985.257828	2541.877114	104.4749875	256.471096	1967.538756	2633.325158					
024	i:	024-F-BHC1	BHC1	1935	male	1176.921806	tiid	t	t	spontaneous	209.125305	52.28132625	378.8048215	2011.200521	2391.297883	104.5626525	372.1402269	1998.720345	2220.526124	156.8439788	311.8313074	2015.873431	2204.550396					
024	i:	024-F-BHC1	BHC1	1935	male	1261.736969	tiid	t	d	spontaneous	152.9201926	38.23004816	345.8705666	1964.475482	2376.479609	76.46009631	383.2327963	2045.49823	2484.083662	114.6901445	355.01609	2068.422829	2364.595568					
024	i:	024-F-BHC1	BHC1	1935	male	1380.589484	tiid	t	t	spontaneous	188.2041567	47.05103917	281.9571362	1988.202416	2429.007772	94.10207833	286.8306202	2088.161004	2402.77479	141.1531175	285.4699528	2042.480836	2497.398728					
024	i:	024-F-BHC1	BHC1	1935	male	1550.66179	fiif	f	v	spontaneous	147.7637391	36.94093476	283.6831721	2019.840435	2618.664528	73.88186953	259.0146911	1969.096725	2613.650792	110.8228043	267.4644584	1963.75161	2467.489847					
024	i:	024-F-BHC1	BHC1	1935	male	1561.537328	tiid	t	t	spontaneous	116.5847997	29.14619992	374.9008798	1942.367088	2381.593344	58.29239984	355.6931149	1921.081932	2474.541851	87.43859975	346.1932681	1887.14738	2445.441048					
024	i:	024-F-BHC1	BHC1	1935	male	1852.437472	tiid	t	t	spontaneous	170.5245735	42.63114337	320.5037285	1973.278133	2514.808138	85.26228673	316.7747302	2015.450231	2560.026782	127.8934301	278.8162731	2033.481046	2615.645287					
024	i:	024-F-BHC1	BHC1	1935	male	1862.750467	tiid	t	t	spontaneous	212.8575224	53.2143806	320.7026496	2004.187123	2594.375941	106.4287612	293.7465165	2100.078203	2489.06082	159.6431418	292.1852984	2116.606684	2629.934565					
024	i:	024-F-BHC1	BHC1	1935	male	2249.647206	tiid	t	t	spontaneous	92.74622442	23.1865561	352.94063	1999.571578	2568.437426	46.37311221	347.8968897	2021.527684	2506.160675	69.55966831	343.8620057	1899.519187	2476.33065					
024	i:	024-F-BHC1	BHC1	1935	male	2340.509779	tiid	t	t	spontaneous	164.873409	41.21835225	317.8038587	1918.557092	2492.283147	82.43670449	323.4097108	1785.577387	2452.003074	123.6550567	308.7358969	1620.841678	2426.597556					
024	i:	024-F-BHC1	BHC1	1935	male	2373.589526	fiif	f	v	spontaneous	134.8793867	33.71984667	314.5224895	1906.447405	2360.699735	67.43969334	297.4627574	1951.357717	2513.242548	101.15954	294.4697002	1970.266978	2384.851174					
025	i:	025-F-BHC1	BHC1	1958	male	219.6027289	wiid	v	t	read	189.4446831	47.36117078	327.6614529	2044.259125	2424.554101	94.72234157	351.3725903	2048.320412	2605.995009	142.0835124	384.6822821	1765.784865	2387.147483					
025	i:	025-F-BHC1	BHC1	1958	male	131.4451116	tiid	t	t	read	145.4738192	36.36845479	343.0395894	1974.644572	2686.554879	72.73690958	316.1132383	2140.131006	2591.603534	109.1053644	295.1151351	2091.489783	2721.659164					
025	i:	025-F-BHC1	BHC1	1958	male	1201.417988	tiid	t	t	spontaneous	196.5973437	49.14933592	421.2975493	1749.2928	2347.889751	98.29867185	368.8040946	1878.818604	2291.691975	147.4480078	323.2886308	1925.46966	2168.211715					
025	i:	025-F-BHC1	BHC1	1958	male	110.7260268	wiif	v	f	read	213.7011398	53.42528494	335.8823951	1933.785919	2318.488896	106.8505699	300.4071208	2065.739848	2697.255647	160.2758548	279.0834417	2135.67432	2399.117367					
025	i:	025-F-BHC1	BHC1	1958	male	111.9116152	siik	s	k	read	246.9144581	61.72861452	310.0954034	1988.259186	2493.597835	123.457229	281.3820167	2074.660561	2526.468406	185.1858436	282.7068787	2146.019179	2454.617676					
025	i:	025-F-BHC1	BHC1	1958	male	1065.93639	tiid	t	t	spontaneous	248.6164966	62.15412415	380.8012424	1721.535344	2522.822748	124.3082483	342.1217655	2043.201565	2819.926474	186.4623724	324.9128653	2031.518822	2525.972886					
025	i:	025-F-BHC1	BHC1	1958	male	1307.630194	tiidsje	t	t	spontaneous	185.5212725	46.38031813	331.2827569	1919.730187	2483.879503	92.76063626	297.0554771	2007.908399	3082.749244	139.1409544	309.3186109	2081.052202	2326.606751					
025	i:	025-F-BHC1	BHC1	1958	male	1436.725714	tiidsje	t	t	spontaneous	135.6448184	33.9112046	373.6172164	1815.433671	2407.979977	67.82240919	365.8554857	1841.477278	2584.792892	101.7336138	351.8102442	1913.667117	2432.066167					
025	i:	025-F-BHC1	BHC1	1958	male	1791.388483	betiid	t	t	spontaneous	135.6460459	33.91151148	383.3253309	1822.825717	2511.16241	67.82302296	359.3047387	1953.929152	2505.089304	101.7345344	325.2571946	1890.944816	2602.105332					
025	i:	025-F-BHC1	BHC1	1958	male	2137.452251	betiid	t	t	spontaneous	118.8153796	29.70384491	368.5442647	1729.063232	2115.278008	59.40768982	354.7351297	1821.46251	2178.855553	89.11153472	339.909696	1816.525302	2323.642764					
025	i:	025-F-BHC1	BHC1	1958	male	2685.066182	tiid	t	d	spontaneous	111.1985683	27.79964208	401.3192714	1787.83698	2514.779744	55.59928416	385.0989757	1944.716948	2483.91654	83.39892624	366.8481487	1939.721418	2410.041383					
030	i:	030-F-BHC1	BHC1	1943	male	106.1211888	siik	s	k	read	238.4154029	59.60385072	327.3310522	2167.844574	2698.532209	119.2077014	342.1081397	2161.270103	2688.463818	178.8115522	376.2725873	2337.796158	2476.507617					
030	i:	030-F-BHC1	BHC1	1943	male	127.4350091	tiid	t	t	read	223.7428772	55.93571929	360.4511048	1959.843398	2613.481439	111.8714386	319.1103369	2178.964036	2653.711977	167.8071579	345.2833201	2211.419575	2548.315025					
030	i:	030-F-BHC1	BHC1	1943	male	210.8272328	wiid	v	t	read	206.1293926	51.53234815	348.5519348	2056.412102	2506.044498	103.0646963	360.2541476	2148.222939	2606.643814	154.5970444	369.9165526	2252.462222	2570.458739					
030	i:	030-F-BHC1	BHC1	1943	male	608.2303315	tiid	t	d	spontaneous	175.1736584	43.79341459	287.7418006	1935.910902	2517.994799	87.58682918	301.4139748	2207.865389	2466.761964	131.3802438	203.3533975	2263.450136	2411.68629					
030	i:	030-F-BHC1	BHC1	1943	male	765.8267541	tiisdeis	t	z	spontaneous	190.3846579	47.59616447	262.3303259	2107.016879	2807.612585	95.19232894	274.363558	2203.501298	2630.810264	142.7884934	301.2752885	2248.830908	2731.861139					
030	i:	030-F-BHC1	BHC1	1943	male	1201.163427	siik	s	k	spontaneous	221.6801948	55.4200487	307.2250003	2158.459269	2875.040256	110.8400974	307.8727444	2248.046974	2677.439289	166.2601461	259.0597207	2320.336361	2913.968409					
030	i:	030-F-BHC1	BHC1	1943	male	1506.207834	tiid	t	t	spontaneous	119.0340427	29.75851067	372.7613885	2164.763897	2625.474539	59.51702134	309.3451712	2130.884471	2546.098139	89.27553201	335.0680247	2090.694423	2437.129179					
030	i:	030-F-BHC1	BHC1	1943	male	1731.911468	tiid	t	t	spontaneous	231.062782	57.7656955	374.5619894	2018.714362	2505.466766	115.531391	321.6731393	2229.692084	2612.874632	173.2970865	333.1048237	2309.751123	2508.31489					
030	i:	030-F-BHC1	BHC1	1943	male	1737.855613	tiid	t	t	spontaneous	161.8914402	40.47286006	421.4195946	2029.167705	2715.203869	80.94572011	360.1744512	2219.868295	2790.883183	121.4185802	327.9664427	2334.508699	2721.55303					
030	i:	030-F-BHC1	BHC1	1943	male	1768.559921	tiid	t	t	spontaneous	141.4058056	35.35145141	396.3594342	2136.849193	2604.25853	70.70290281	360.6834733	2164.956084	2549.182069	106.0543542	312.4178388	2185.937866	2547.437789					
030	i:	030-F-BHC1	BHC1	1943	male	2265.04834	tiid	t	t	spontaneous	204.5879385	51.14698462	372.4025236	2015.394962	2570.455505	102.2939692	342.7574725	2244.15039	2493.728641	153.4409539	338.5194291	2185.437254	2514.556533					
030	i:	030-F-BHC1	BHC1	1943	male	2289.964719	bliid	l	t	spontaneous	124.6120877	31.15302192	336.5146865	2060.515405	2482.785181	62.30604384	290.3425794	2113.921124	2657.566106	93.45906576	276.4134031	2142.002289	2764.209632					
030	i:	030-F-BHC1	BHC1	1943	male	2410.330437	siik	s	k	spontaneous	208.4192397	52.10480992	391.8235407	2044.160921	2561.096734	104.2096198	350.3192091	2214.533136	2565.954667	156.3144298	310.5933588	2245.408082	2517.039948					
030	i:	030-F-BHC1	BHC1	1943	male	104.3426863	wiif	v	f	read	146.4433146	36.61082865	333.545923	2017.315729	2482.098593	73.2216573	375.0270049	2161.758344	2594.692581	109.8324859	363.7778681	2294.696087	2588.339793					
031	i:	031-F-BHC1	BHC1	1967	male	118.4856467	wiif	v	f	read	183.1099091	45.77747728	320.6708394	2172.754353	2741.872548	91.55495457	340.777516	2231.516572	2821.614957	137.3324318	341.6217241	2263.080535	2783.364507					
031	i:	031-F-BHC1	BHC1	1967	male	119.6895063	siik	s	k	read	190.6283281	47.65708203	345.7916922	2144.037905	2793.310512	95.31416406	380.0562028	2123.77822	2843.83205	142.9712461	347.3074561	2203.68557	2837.646376					
031	i:	031-F-BHC1	BHC1	1967	male	140.6691487	tiid	t	t	read	161.2140197	40.30350494	338.5766182	2210.076075	2825.115014	80.60700987	337.6032389	2218.427744	2734.8718	120.9105148	272.4967352	2172.134049	2740.229285					
